{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8925217}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.075741865}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.010621643}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.998104}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.000741166}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.00035695237}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.71337515}  {Name:n02125311 cougar, puma, catamount, mountain lion, painter, panther, Felis concolor, Probability:0.18297885}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.033688698}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9815669}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.015306429}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.003064943}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9972791}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00062638253}  {Name:n02125311 cougar, puma, catamount, mountain lion, painter, panther, Felis concolor, Probability:0.00046747344}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.92720807}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.03402202}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.021589607}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9971263}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0020478587}  {Name:n02108551 Tibetan mastiff, Probability:0.0002056608}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9994473}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:8.682164e-05}  {Name:n02077923 sea lion, Probability:8.540926e-05}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9985903}  {Name:n02117135 hyena, hyaena, Probability:0.00066828803}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.00017031116}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9127105}  {Name:n02077923 sea lion, Probability:0.034475565}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.018521497}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9736057}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.012047227}  {Name:n02410509 bison, Probability:0.0026312845}
{Name:n02444819 otter, Probability:0.19088264}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.15964392}  {Name:n02099849 Chesapeake Bay retriever, Probability:0.11980966}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9987086}  {Name:n02117135 hyena, hyaena, Probability:0.00044724531}  {Name:n02115641 dingo, warrigal, warragal, Canis dingo, Probability:0.00031883083}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.77261096}  {Name:n02104365 schipperke, Probability:0.14980504}  {Name:n02105056 groenendael, Probability:0.0625842}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9992907}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0002942349}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:6.718171e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7602249}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.079909705}  {Name:n04409515 tennis ball, Probability:0.053084265}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.494383}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.22553079}  {Name:n02074367 dugong, Dugong dugon, Probability:0.077976584}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99790657}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0012463242}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0007686381}
{Name:n02104029 kuvasz, Probability:0.16964573}  {Name:n02412080 ram, tup, Probability:0.13036297}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.12966466}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99905914}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0004923444}  {Name:n02114367 timber wolf, grey wolf, gray wolf, Canis lupus, Probability:0.00017637442}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.996819}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0030752788}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00010558752}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9885028}  {Name:n02099849 Chesapeake Bay retriever, Probability:0.0028281212}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0023701857}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.97544223}  {Name:n02117135 hyena, hyaena, Probability:0.018940447}  {Name:n02486410 baboon, Probability:0.0010800656}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9997726}  {Name:n01883070 wombat, Probability:0.00013303013}  {Name:n02117135 hyena, hyaena, Probability:1.5492038e-05}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99899644}  {Name:n02077923 sea lion, Probability:0.00065572193}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00031905138}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.986252}  {Name:n02099849 Chesapeake Bay retriever, Probability:0.0033697146}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.0033463845}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8419719}  {Name:n02074367 dugong, Dugong dugon, Probability:0.12561978}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.030023191}
{Name:n02363005 beaver, Probability:0.41179675}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.36007375}  {Name:n02444819 otter, Probability:0.1971546}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.98824173}  {Name:n02077923 sea lion, Probability:0.0042896955}  {Name:n03388043 fountain, Probability:0.002940052}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99940276}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.00041478482}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:7.024772e-05}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.95534515}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.025625236}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.00346783}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9911752}  {Name:n02077923 sea lion, Probability:0.0030560682}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.0023191187}
{Name:n02457408 three-toed sloth, ai, Bradypus tridactylus, Probability:0.14822857}  {Name:n02486410 baboon, Probability:0.12560263}  {Name:n02497673 Madagascar cat, ring-tailed lemur, Lemur catta, Probability:0.118794404}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.5264461}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.46848723}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.0034000254}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90452284}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.05766341}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.037580885}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99935657}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0002189145}  {Name:n02115641 dingo, warrigal, warragal, Canis dingo, Probability:0.000110953806}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99965346}  {Name:n02091134 whippet, Probability:0.00013549555}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:4.952689e-05}
{Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.5401911}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.41947934}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.019241048}
{Name:n02117135 hyena, hyaena, Probability:0.5979556}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.17345862}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.06949996}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9998988}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:2.6107631e-05}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:2.4808778e-05}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.96884143}  {Name:n02074367 dugong, Dugong dugon, Probability:0.0056707556}  {Name:n02111889 Samoyed, Samoyede, Probability:0.0045988834}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9926917}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.007013392}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.00014393032}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9994423}  {Name:n02077923 sea lion, Probability:0.0004056173}  {Name:n02074367 dugong, Dugong dugon, Probability:6.0501177e-05}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9999354}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:2.4592304e-05}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:1.6198783e-05}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99803394}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0015700953}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.00032060305}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9989165}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0007273972}  {Name:n01883070 wombat, Probability:9.0552174e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9981437}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00085555826}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00047337136}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.59032154}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.39388824}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.013434097}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99781644}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.00070483517}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.000571112}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.91049755}  {Name:n02099601 golden retriever, Probability:0.03556104}  {Name:n02104029 kuvasz, Probability:0.020567652}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99255}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0019982131}  {Name:n02105056 groenendael, Probability:0.001578108}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99959165}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.00014941629}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:6.949915e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5035957}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.45941415}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.035494056}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9915372}  {Name:n02500267 indri, indris, Indri indri, Indri brevicaudatus, Probability:0.0065043396}  {Name:n04254680 soccer ball, Probability:0.0004138203}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.62265897}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.30976975}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.02749195}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90452284}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.05766341}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.037580885}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.94478595}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.051705435}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0034814684}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8231954}  {Name:n02106550 Rottweiler, Probability:0.03907721}  {Name:n02089078 black-and-tan coonhound, Probability:0.030719858}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.5133027}  {Name:n01883070 wombat, Probability:0.3368733}  {Name:n02363005 beaver, Probability:0.05603894}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.96564573}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0037058217}  {Name:n02104029 kuvasz, Probability:0.003340105}
{Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.49986598}  {Name:n02104029 kuvasz, Probability:0.18160093}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.17776316}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9977428}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.00029263127}  {Name:n02129604 tiger, Panthera tigris, Probability:0.00019725709}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99857724}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.000576295}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.00040300883}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.98424697}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.011194783}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.004487012}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.80258733}  {Name:n02447366 badger, Probability:0.051968314}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.039009094}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9297946}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.038309082}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0044329744}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.98982006}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.009423147}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.000707853}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99998224}  {Name:n02077923 sea lion, Probability:1.636747e-05}  {Name:n02074367 dugong, Dugong dugon, Probability:9.540867e-07}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.5238764}  {Name:n02457408 three-toed sloth, ai, Bradypus tridactylus, Probability:0.44926855}  {Name:n02444819 otter, Probability:0.0047523407}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.664198}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.31309092}  {Name:n02117135 hyena, hyaena, Probability:0.015037638}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.65695715}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.26970312}  {Name:n01883070 wombat, Probability:0.031330284}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9906158}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.00927117}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:6.7840774e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7909228}  {Name:n02104365 schipperke, Probability:0.03634926}  {Name:n02105056 groenendael, Probability:0.03233719}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.66952884}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.3202915}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.007502466}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7123235}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.19565745}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.0481647}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.96151096}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.029732168}  {Name:n01883070 wombat, Probability:0.006645934}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.80258733}  {Name:n02447366 badger, Probability:0.051968314}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.039009094}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.899489}  {Name:n02486410 baboon, Probability:0.05483915}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.009901317}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.54108715}  {Name:n01883070 wombat, Probability:0.33283123}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.051074535}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999938}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:2.8934146e-06}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:1.7567664e-06}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90197426}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.07155411}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.010881328}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9989794}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0002034785}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.00019474266}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9836548}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.010464591}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.005443236}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99597}  {Name:n02074367 dugong, Dugong dugon, Probability:0.0021640188}  {Name:n02104029 kuvasz, Probability:0.0008702763}
{Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.5098645}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.28636506}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.052164532}
{Name:n02107683 Bernese mountain dog, Probability:0.2717048}  {Name:n02444819 otter, Probability:0.18039799}  {Name:n02102040 English springer, English springer spaniel, Probability:0.14469546}
{Name:n03042490 cliff dwelling, Probability:0.7813922}  {Name:n09246464 cliff, drop, drop-off, Probability:0.089841805}  {Name:n04326547 stone wall, Probability:0.026427982}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.4695064}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.28300104}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.11652171}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9943493}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0025793237}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0018983333}
{Name:n02480855 gorilla, Gorilla gorilla, Probability:0.37903622}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.20455565}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.11496033}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8237951}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.08967416}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.073933266}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.99833953}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.00040389004}  {Name:n04254680 soccer ball, Probability:0.00014688207}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.5555995}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.15924038}  {Name:n02117135 hyena, hyaena, Probability:0.03738286}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.5195506}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.4769793}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.0017628518}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.917697}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.07751487}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0036005625}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9980096}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0010286813}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00079870573}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.90191424}  {Name:n02486410 baboon, Probability:0.0674035}  {Name:n02487347 macaque, Probability:0.01033205}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.82055265}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.13137597}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.040854234}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9947818}  {Name:n02125311 cougar, puma, catamount, mountain lion, painter, panther, Felis concolor, Probability:0.0020476666}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0014749352}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999889}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:5.102455e-06}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:4.582259e-06}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9989058}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.00106944}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:9.392655e-06}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99936837}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0006070652}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:2.0539044e-05}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99999356}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:4.5161546e-06}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:5.921725e-07}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999596}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:2.253973e-05}  {Name:n01695060 Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis, Probability:6.335326e-06}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.42390367}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.106875375}  {Name:n02447366 badger, Probability:0.100672506}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.99999976}  {Name:n04399382 teddy, teddy bear, Probability:6.2407e-08}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:6.1023464e-08}
