{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.4817549}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.14458753}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.09241017}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.7774855}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.21576326}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.0036666107}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97088593}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.012943101}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0053959815}
{Name:n02099429 curly-coated retriever, Probability:0.34211126}  {Name:n02099849 Chesapeake Bay retriever, Probability:0.22370932}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.13240871}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8480191}  {Name:n02410509 bison, Probability:0.0668201}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.05727244}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.774427}  {Name:n02104365 schipperke, Probability:0.090594314}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.052092947}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.21335953}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.13837278}  {Name:n02097130 giant schnauzer, Probability:0.119522326}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.58433694}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.41546407}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0001930088}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90897524}  {Name:n02105056 groenendael, Probability:0.058397055}  {Name:n02106382 Bouvier des Flandres, Bouviers des Flandres, Probability:0.009196135}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9584985}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.020502504}  {Name:n02120505 grey fox, gray fox, Urocyon cinereoargenteus, Probability:0.012595176}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99489486}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0032966253}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0017854177}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9265947}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.060232677}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.012497253}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90695775}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.07847564}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0022454804}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.94234425}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.05274578}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0047617927}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9742036}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.011969202}  {Name:n02105056 groenendael, Probability:0.0023900035}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99766695}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0018026389}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00020762051}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99423474}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0037853061}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0018704665}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.42735222}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.14482619}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.14447044}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8833485}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.114709504}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0012006029}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.92973363}  {Name:n02492660 howler monkey, howler, Probability:0.020314008}  {Name:n02128925 jaguar, panther, Panthera onca, Felis onca, Probability:0.009234243}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.81920135}  {Name:n02104365 schipperke, Probability:0.05926719}  {Name:n02410509 bison, Probability:0.020439204}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9594313}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.03424651}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.0023734183}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7705305}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.11868997}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.071235}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.98329055}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.014827292}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0014631778}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.94222105}  {Name:n02128925 jaguar, panther, Panthera onca, Felis onca, Probability:0.006201445}  {Name:n02104365 schipperke, Probability:0.0054727774}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9872457}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.011258012}  {Name:n02128925 jaguar, panther, Panthera onca, Felis onca, Probability:0.00034632767}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6689183}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.29683238}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.015408107}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9696268}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.022773966}  {Name:n02128925 jaguar, panther, Panthera onca, Felis onca, Probability:0.0028086943}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97960085}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0147293685}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0056202747}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9033486}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.0441759}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.027534854}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5255338}  {Name:n02097298 Scotch terrier, Scottish terrier, Scottie, Probability:0.059129033}  {Name:n02361337 marmot, Probability:0.03523104}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9570019}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.015436032}  {Name:n02105056 groenendael, Probability:0.0076240143}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9969428}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0030298256}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:2.6608306e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96738976}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.023973491}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.006772824}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02104365 schipperke, Probability:0.40947187}  {Name:n02105056 groenendael, Probability:0.23380227}  {Name:n02110185 Siberian husky, Probability:0.06022995}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9913931}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0073506827}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0010103108}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9971801}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0020631284}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.00027777322}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97906566}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.02086523}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:2.2771044e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96555024}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.02729816}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0036417437}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5897422}  {Name:n02106382 Bouvier des Flandres, Bouviers des Flandres, Probability:0.087094545}  {Name:n02097130 giant schnauzer, Probability:0.07401368}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9624645}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.025381876}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.004745286}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.4534161}  {Name:n02492660 howler monkey, howler, Probability:0.16777453}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.104637966}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9689441}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.028646888}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.000595638}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9477063}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.016110452}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.012003585}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97630876}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.018448183}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.005131947}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9894874}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.010362491}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:4.7369384e-05}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7330643}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.20786798}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.014204996}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9812707}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.010408628}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00810914}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9929584}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0030587034}  {Name:n02105056 groenendael, Probability:0.0015940208}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.89469963}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.10335902}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0018841709}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6721116}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.29264897}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.021254525}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.6097619}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.24003144}  {Name:n02504013 Indian elephant, Elephas maximus, Probability:0.02784356}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.47828123}  {Name:n02442845 mink, Probability:0.11195672}  {Name:n02443114 polecat, fitch, foulmart, foumart, Mustela putorius, Probability:0.088007346}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9259592}  {Name:n01883070 wombat, Probability:0.059194025}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0034268368}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96645653}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0135754375}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.013448075}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99799216}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0017190515}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:7.479884e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.41559777}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.16007799}  {Name:n02486410 baboon, Probability:0.09949237}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7444222}  {Name:n02107908 Appenzeller, Probability:0.04198497}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.038646106}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.67682433}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.32316327}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:1.1700984e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99800795}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0015323042}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00043848946}
{Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.17431787}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.1439936}  {Name:n02410509 bison, Probability:0.12051246}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99058783}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0093163755}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:9.426777e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.73643035}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.15517436}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.03016057}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.2725371}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.1990493}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.12945653}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.91611314}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.08382976}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:5.3519325e-05}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.89185643}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.10813772}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:4.268989e-06}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.78508264}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.15621088}  {Name:n02441942 weasel, Probability:0.013593229}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99812955}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0014406898}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00016027049}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.94688314}  {Name:n02105056 groenendael, Probability:0.009805966}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.007425539}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99325925}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0035335622}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0027547295}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.69360375}  {Name:n02442845 mink, Probability:0.10446226}  {Name:n02441942 weasel, Probability:0.03141666}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.79155064}  {Name:n02410509 bison, Probability:0.08450133}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.049521476}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9946477}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.003704465}  {Name:n02105056 groenendael, Probability:0.00079227384}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.89337623}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.047317006}  {Name:n02128925 jaguar, panther, Panthera onca, Felis onca, Probability:0.04236428}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9869298}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.011088617}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0018710183}
{Name:n03792782 mountain bike, all-terrain bike, off-roader, Probability:0.088634156}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.042951062}  {Name:n04275548 spider web, spider's web, Probability:0.03641042}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99956745}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00037306407}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:5.8498288e-05}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.94942904}  {Name:n02105056 groenendael, Probability:0.036769398}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0060053985}
{Name:n02492660 howler monkey, howler, Probability:0.31147495}  {Name:n02493793 spider monkey, Ateles geoffroyi, Probability:0.16318819}  {Name:n02500267 indri, indris, Indri indri, Indri brevicaudatus, Probability:0.07868473}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.95677096}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.03552981}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.0032347068}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.20264417}  {Name:n02099429 curly-coated retriever, Probability:0.06876824}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.064034656}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9302645}  {Name:n02105056 groenendael, Probability:0.03141688}  {Name:n02106382 Bouvier des Flandres, Bouviers des Flandres, Probability:0.007976559}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9903746}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0043292427}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0018524975}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9771155}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.022240072}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00030953583}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.982278}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.015901685}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00057130685}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9868602}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.012242019}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00089560385}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5887827}  {Name:n02104365 schipperke, Probability:0.1599857}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.12017497}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9243454}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.034348935}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.019281168}
{Name:n03970156 plunger, plumber's helper, Probability:0.059540037}  {Name:n03481172 hammer, Probability:0.047081452}  {Name:n04208210 shovel, Probability:0.030479394}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.26031706}  {Name:n02104365 schipperke, Probability:0.12611361}  {Name:n02445715 skunk, polecat, wood pussy, Probability:0.09126918}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6986119}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.12724598}  {Name:n02104365 schipperke, Probability:0.02963995}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.84808147}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.057765745}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.021184461}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9463597}  {Name:n02104365 schipperke, Probability:0.034902208}  {Name:n02105056 groenendael, Probability:0.0039754813}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8063657}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.10469842}  {Name:n02106382 Bouvier des Flandres, Bouviers des Flandres, Probability:0.0361377}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9991825}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00076222455}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:1.3168753e-05}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.69393194}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.30524984}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0005285747}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7503802}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.24241462}  {Name:n01883070 wombat, Probability:0.0023062045}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7079539}  {Name:n02104365 schipperke, Probability:0.10561764}  {Name:n02099429 curly-coated retriever, Probability:0.03384459}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.70248973}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.29195064}  {Name:n02108551 Tibetan mastiff, Probability:0.0026695228}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.68608814}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.31335226}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00029949326}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96471137}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.030841336}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0037047083}
