{Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.35942364}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.21924742}  {Name:n02104029 kuvasz, Probability:0.2172781}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.7153257}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.16931145}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.050503377}
{Name:n02116738 African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus, Probability:0.2938754}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.2259907}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.10863264}
{Name:n02492660 howler monkey, howler, Probability:0.75522465}  {Name:n02493793 spider monkey, Ateles geoffroyi, Probability:0.06158438}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.047023527}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.720219}  {Name:n02410509 bison, Probability:0.09564287}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.072312996}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9950783}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.001953572}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.0017178438}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.83563656}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.048158787}  {Name:n02410509 bison, Probability:0.0167298}
{Name:n02480855 gorilla, Gorilla gorilla, Probability:0.33272833}  {Name:n02486410 baboon, Probability:0.07545208}  {Name:n02484975 guenon, guenon monkey, Probability:0.0706808}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999447}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:2.4467401e-05}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:1.1995335e-05}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.94766444}  {Name:n02125311 cougar, puma, catamount, mountain lion, painter, panther, Felis concolor, Probability:0.0047998186}  {Name:n02111889 Samoyed, Samoyede, Probability:0.0044868137}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99930084}  {Name:n02104029 kuvasz, Probability:0.00026993628}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.00018397735}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9991959}  {Name:n02117135 hyena, hyaena, Probability:0.00049210433}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:7.915883e-05}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.98511475}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0050371527}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0031485525}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9066926}  {Name:n02410509 bison, Probability:0.03475794}  {Name:n02363005 beaver, Probability:0.022674482}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9995253}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.00026406057}  {Name:n02104029 kuvasz, Probability:0.00010063717}
{Name:n02493793 spider monkey, Ateles geoffroyi, Probability:0.1855489}  {Name:n02492035 capuchin, ringtail, Cebus capucinus, Probability:0.18389367}  {Name:n02487347 macaque, Probability:0.09953667}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n01695060 Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis, Probability:0.21344113}  {Name:n02444819 otter, Probability:0.16476473}  {Name:n01697457 African crocodile, Nile crocodile, Crocodylus niloticus, Probability:0.1127647}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99745244}  {Name:n02074367 dugong, Dugong dugon, Probability:0.0017529798}  {Name:n02077923 sea lion, Probability:0.00024424106}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.42809907}  {Name:n02097130 giant schnauzer, Probability:0.074847616}  {Name:n02105056 groenendael, Probability:0.043277226}
{Name:n02410509 bison, Probability:0.97402745}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.021746084}  {Name:n02403003 ox, Probability:0.0029520555}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.83601743}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.14365207}  {Name:n02117135 hyena, hyaena, Probability:0.008850354}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9955199}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.002333698}  {Name:n02074367 dugong, Dugong dugon, Probability:0.0008602726}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n03388043 fountain, Probability:0.17412187}  {Name:n03743016 megalith, megalithic structure, Probability:0.10582368}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.07507076}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.98656}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.007071022}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0021432028}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97779477}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.016920656}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0013196929}
{Name:n04525038 velvet, Probability:0.35840252}  {Name:n01930112 nematode, nematode worm, roundworm, Probability:0.13997982}  {Name:n01494475 hammerhead, hammerhead shark, Probability:0.0299825}
{Name:n02115913 dhole, Cuon alpinus, Probability:0.34917244}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.16783333}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.0982701}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999902}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:3.3683234e-06}  {Name:n02104029 kuvasz, Probability:3.2931277e-06}
{Name:n02111889 Samoyed, Samoyede, Probability:0.69308406}  {Name:n02104029 kuvasz, Probability:0.16752252}  {Name:n02111500 Great Pyrenees, Probability:0.07225773}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9761326}  {Name:n01883070 wombat, Probability:0.00977076}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0077030514}
{Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.92587006}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.03928148}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.033140145}
{Name:n02493793 spider monkey, Ateles geoffroyi, Probability:0.28658625}  {Name:n02492035 capuchin, ringtail, Cebus capucinus, Probability:0.15067321}  {Name:n02119789 kit fox, Vulpes macrotis, Probability:0.13894892}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9992366}  {Name:n02457408 three-toed sloth, ai, Bradypus tridactylus, Probability:0.0005119299}  {Name:n02412080 ram, tup, Probability:0.00010556154}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.70181525}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.09151848}  {Name:n02077923 sea lion, Probability:0.08074397}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.223727}  {Name:n07753113 fig, Probability:0.16249251}  {Name:n02493509 titi, titi monkey, Probability:0.08390155}
{Name:n02437312 Arabian camel, dromedary, Camelus dromedarius, Probability:0.22390445}  {Name:n09421951 sandbar, sand bar, Probability:0.06340469}  {Name:n09428293 seashore, coast, seacoast, sea-coast, Probability:0.03809466}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9673266}  {Name:n02104029 kuvasz, Probability:0.026784115}  {Name:n02412080 ram, tup, Probability:0.001900118}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7393912}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.25749502}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.001491902}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.95232207}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.030874219}  {Name:n02129165 lion, king of beasts, Panthera leo, Probability:0.00484547}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7650626}  {Name:n02077923 sea lion, Probability:0.071088105}  {Name:n02444819 otter, Probability:0.06102604}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9999999}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:1.5447385e-07}  {Name:n02447366 badger, Probability:3.8573592e-08}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.3726302}  {Name:n02100583 vizsla, Hungarian pointer, Probability:0.124766804}  {Name:n02099601 golden retriever, Probability:0.10252326}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99958533}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.00012032326}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.00010749131}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.68057203}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.26735592}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.012005152}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9071316}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.016206926}  {Name:n02096051 Airedale, Airedale terrier, Probability:0.0070983735}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.9645568}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.017047005}  {Name:n02108551 Tibetan mastiff, Probability:0.005897443}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.35797682}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.2077214}  {Name:n02137549 mongoose, Probability:0.03512418}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9952559}  {Name:n02104029 kuvasz, Probability:0.002085891}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.00046444795}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6561433}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.34052342}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0016568113}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.4078169}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.23281644}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.13631433}
{Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.9999999}  {Name:n02443114 polecat, fitch, foulmart, foumart, Mustela putorius, Probability:3.2545476e-08}  {Name:n02119789 kit fox, Vulpes macrotis, Probability:2.2086319e-08}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.6175691}  {Name:n02129165 lion, king of beasts, Panthera leo, Probability:0.14833365}  {Name:n02397096 warthog, Probability:0.06441394}
{Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.99519604}  {Name:n02492035 capuchin, ringtail, Cebus capucinus, Probability:0.002525474}  {Name:n02493509 titi, titi monkey, Probability:0.0011800027}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9000206}  {Name:n02504458 African elephant, Loxodonta africana, Probability:0.022208143}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.012517853}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.7256175}  {Name:n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias, Probability:0.08314205}  {Name:n02066245 grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus, Probability:0.032467548}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n01882714 koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus, Probability:0.9999957}  {Name:n01877812 wallaby, brush kangaroo, Probability:2.418507e-06}  {Name:n01883070 wombat, Probability:6.747402e-07}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9998184}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:4.591825e-05}  {Name:n02123597 Siamese cat, Siamese, Probability:1.7197732e-05}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.5405035}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.33626813}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.097373284}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.46376485}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.3969432}  {Name:n02104029 kuvasz, Probability:0.123731434}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.49071065}  {Name:n02117135 hyena, hyaena, Probability:0.26961598}  {Name:n02410509 bison, Probability:0.085844375}
{Name:n01883070 wombat, Probability:0.3003355}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.18200937}  {Name:n02125311 cougar, puma, catamount, mountain lion, painter, panther, Felis concolor, Probability:0.16029277}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.86422867}  {Name:n02077923 sea lion, Probability:0.022146584}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.021463733}
{Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.8136474}  {Name:n01877812 wallaby, brush kangaroo, Probability:0.02800229}  {Name:n02443484 black-footed ferret, ferret, Mustela nigripes, Probability:0.018683672}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.82092404}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.037698526}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.02540749}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7732236}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.12325294}  {Name:n01883070 wombat, Probability:0.04771956}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.62539923}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.34470797}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.009114511}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8725322}  {Name:n02437312 Arabian camel, dromedary, Camelus dromedarius, Probability:0.048708092}  {Name:n04399382 teddy, teddy bear, Probability:0.020741787}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02093754 Border terrier, Probability:0.14390445}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.11251089}  {Name:n02361337 marmot, Probability:0.103606306}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.72554106}  {Name:n02099267 flat-coated retriever, Probability:0.059102427}  {Name:n02105056 groenendael, Probability:0.03393941}
{Name:n02442845 mink, Probability:0.5048138}  {Name:n02137549 mongoose, Probability:0.25727904}  {Name:n02441942 weasel, Probability:0.07307265}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9746337}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.0083719455}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.00314918}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9862954}  {Name:n02099849 Chesapeake Bay retriever, Probability:0.0020276227}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.0012889361}
{Name:n03967562 plow, plough, Probability:0.043926973}  {Name:n04208210 shovel, Probability:0.022518668}  {Name:n02749479 assault rifle, assault gun, Probability:0.018389143}
{Name:n09468604 valley, vale, Probability:0.25962305}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.1349442}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.09836303}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9996037}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.00025876044}  {Name:n02104029 kuvasz, Probability:2.1862967e-05}
{Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.99999976}  {Name:n02443114 polecat, fitch, foulmart, foumart, Mustela putorius, Probability:9.156445e-08}  {Name:n02441942 weasel, Probability:8.436004e-08}
{Name:n02100583 vizsla, Hungarian pointer, Probability:0.1098393}  {Name:n02087394 Rhodesian ridgeback, Probability:0.09079697}  {Name:n04606251 wreck, Probability:0.06600746}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9996606}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:9.9075885e-05}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:7.723223e-05}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.78892493}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.12615962}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.02124994}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9963135}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0015146259}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0010756912}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.67512417}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.31556305}  {Name:n02443114 polecat, fitch, foulmart, foumart, Mustela putorius, Probability:0.0019825192}
{Name:n02119022 red fox, Vulpes vulpes, Probability:0.18123211}  {Name:n02115641 dingo, warrigal, warragal, Canis dingo, Probability:0.15507473}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.12889601}
{Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.99915755}  {Name:n02486261 patas, hussar monkey, Erythrocebus patas, Probability:0.0004364465}  {Name:n02115913 dhole, Cuon alpinus, Probability:0.00019442588}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.51100856}  {Name:n04251144 snorkel, Probability:0.18400274}  {Name:n02074367 dugong, Dugong dugon, Probability:0.13634674}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99109674}  {Name:n02074367 dugong, Dugong dugon, Probability:0.002160113}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0015294971}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7081864}  {Name:n02117135 hyena, hyaena, Probability:0.06667909}  {Name:n02114712 red wolf, maned wolf, Canis rufus, Canis niger, Probability:0.025112726}
{Name:n02117135 hyena, hyaena, Probability:0.33727786}  {Name:n02397096 warthog, Probability:0.15383147}  {Name:n02410509 bison, Probability:0.11035447}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99383354}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0053729126}  {Name:n02363005 beaver, Probability:0.0003027336}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.66334945}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.06088203}  {Name:n02444819 otter, Probability:0.054044712}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n01664065 loggerhead, loggerhead turtle, Caretta caretta, Probability:0.18064037}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.06111984}  {Name:n01694178 African chameleon, Chamaeleo chamaeleon, Probability:0.051455893}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7221304}  {Name:n01883070 wombat, Probability:0.044158418}  {Name:n02444819 otter, Probability:0.03761085}
{Name:n02346627 porcupine, hedgehog, Probability:0.21424188}  {Name:n01883070 wombat, Probability:0.11550507}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.06986961}
{Name:n01695060 Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis, Probability:0.17611946}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.07568377}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.07283444}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9985661}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.00084287964}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.00025301948}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9992218}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0007366313}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:1.0023487e-05}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9970156}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0020101438}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0007922673}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.81100667}  {Name:n02504013 Indian elephant, Elephas maximus, Probability:0.06438247}  {Name:n01871265 tusker, Probability:0.03309628}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02100583 vizsla, Hungarian pointer, Probability:0.28677502}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.23185731}  {Name:n02099849 Chesapeake Bay retriever, Probability:0.0827829}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9992812}  {Name:n02104029 kuvasz, Probability:0.00034270762}  {Name:n02111500 Great Pyrenees, Probability:0.00019653072}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.52287126}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.43864208}  {Name:n02105056 groenendael, Probability:0.010133417}
{Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.24240385}  {Name:n01806143 peacock, Probability:0.1660258}  {Name:n02097130 giant schnauzer, Probability:0.13383926}
{Name:n02093428 American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier, Probability:0.229904}  {Name:n02096585 Boston bull, Boston terrier, Probability:0.1312562}  {Name:n02108089 boxer, Probability:0.09959843}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999515}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:3.4851488e-05}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:6.270627e-06}
{Name:n02074367 dugong, Dugong dugon, Probability:0.5097804}  {Name:n04251144 snorkel, Probability:0.11685008}  {Name:n01491361 tiger shark, Galeocerdo cuvieri, Probability:0.09962068}
{Name:n02442845 mink, Probability:0.29089025}  {Name:n02444819 otter, Probability:0.110736914}  {Name:n02099429 curly-coated retriever, Probability:0.089659005}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.70890975}  {Name:n02113624 toy poodle, Probability:0.036935836}  {Name:n02113712 miniature poodle, Probability:0.028143203}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99240255}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.004020133}  {Name:n02444819 otter, Probability:0.0005807103}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02097130 giant schnauzer, Probability:0.13432415}  {Name:n02410509 bison, Probability:0.11444048}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.11204872}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
