{Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.2975172}  {Name:n02115641 dingo, warrigal, warragal, Canis dingo, Probability:0.17326921}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.13703984}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.64695626}  {Name:n01871265 tusker, Probability:0.0629663}  {Name:n02504458 African elephant, Loxodonta africana, Probability:0.022364246}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8836506}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.004539105}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.004112271}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.93648654}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0019260468}  {Name:n02280649 cabbage butterfly, Probability:0.0012417247}
{Name:n03841143 odometer, hodometer, mileometer, milometer, Probability:0.56411135}  {Name:n02708093 analog clock, Probability:0.056111094}  {Name:n03706229 magnetic compass, Probability:0.03391914}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9129326}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0026271252}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.001895399}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.949946}  {Name:n02092339 Weimaraner, Probability:0.0049620355}  {Name:n02077923 sea lion, Probability:0.0020476393}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.98110884}  {Name:n02104365 schipperke, Probability:0.0016285664}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0006218338}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.75420386}  {Name:n02105056 groenendael, Probability:0.052203625}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.008871675}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9129619}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0027974062}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0026927122}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.86938787}  {Name:n04399382 teddy, teddy bear, Probability:0.005555897}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0025592907}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.93732876}  {Name:n04067472 reel, Probability:0.0011258154}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00061024586}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.95486}  {Name:n02111500 Great Pyrenees, Probability:0.0008463177}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.00084318063}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9596766}  {Name:n02280649 cabbage butterfly, Probability:0.0009584825}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00079797854}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9569086}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0072853635}  {Name:n02106550 Rottweiler, Probability:0.006033469}
{Name:n02361337 marmot, Probability:0.33464518}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.09707981}  {Name:n02125311 cougar, puma, catamount, mountain lion, painter, panther, Felis concolor, Probability:0.07173969}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8233211}  {Name:n03388043 fountain, Probability:0.03406799}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.016403712}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9069336}  {Name:n04399382 teddy, teddy bear, Probability:0.003044059}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.001509513}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8649099}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.050405238}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0052014375}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.92812735}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0017869156}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0016339737}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.2817426}  {Name:n04251144 snorkel, Probability:0.11697846}  {Name:n02077923 sea lion, Probability:0.07179617}
{Name:n01882714 koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus, Probability:0.94045097}  {Name:n01883070 wombat, Probability:0.0014609651}  {Name:n04399382 teddy, teddy bear, Probability:0.00066705793}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9059982}  {Name:n02096051 Airedale, Airedale terrier, Probability:0.0013839632}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.00082489423}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9652525}  {Name:n01664065 loggerhead, loggerhead turtle, Caretta caretta, Probability:0.004554432}  {Name:n01496331 electric ray, crampfish, numbfish, torpedo, Probability:0.0013370615}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9862385}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0017299773}  {Name:n02280649 cabbage butterfly, Probability:0.0016993607}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.85363746}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.014827862}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.005185516}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9321706}  {Name:n02877765 bottlecap, Probability:0.014600651}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0012116531}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.958796}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00090394873}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0006220889}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9145167}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.005702776}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0051198737}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9635415}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.001742205}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0014087226}
{Name:n01882714 koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus, Probability:0.94490695}  {Name:n01883070 wombat, Probability:0.0028091837}  {Name:n02437312 Arabian camel, dromedary, Camelus dromedarius, Probability:0.002304595}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9886783}  {Name:n02099712 Labrador retriever, Probability:0.0005941847}  {Name:n02280649 cabbage butterfly, Probability:0.00042656306}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9391702}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.0019190321}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0005321192}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.90997684}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.023897959}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.005287472}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9370889}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0041255276}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0031101624}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9665385}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.001743182}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0016360609}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.896767}  {Name:n02117135 hyena, hyaena, Probability:0.0042148633}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.003013655}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.9409101}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0028026858}  {Name:n03388183 fountain pen, Probability:0.00033847635}
{Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.54345435}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.42301065}  {Name:n02397096 warthog, Probability:0.0036261186}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.48475972}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.10252463}  {Name:n02493793 spider monkey, Ateles geoffroyi, Probability:0.060373753}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5859031}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.1997798}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.008588457}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9290858}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0018460396}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.001553149}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.6285318}  {Name:n02444819 otter, Probability:0.05585343}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.041325036}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.70626456}  {Name:n02137549 mongoose, Probability:0.026676102}  {Name:n02077923 sea lion, Probability:0.020798367}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.946619}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0017078444}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0010717757}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9902991}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.00031014992}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.00021492474}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.6926362}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0074056517}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.00641729}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.94006544}  {Name:n02102973 Irish water spaniel, Probability:0.0019223749}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0010177111}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9283195}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.00416594}  {Name:n02877765 bottlecap, Probability:0.0029614388}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9175203}  {Name:n02444819 otter, Probability:0.02341194}  {Name:n02504013 Indian elephant, Elephas maximus, Probability:0.0029517682}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.90620977}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0023503215}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0022284829}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.23628572}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.15714884}  {Name:n02492660 howler monkey, howler, Probability:0.051178988}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02444819 otter, Probability:0.20754041}  {Name:n02361337 marmot, Probability:0.15968703}  {Name:n01872401 echidna, spiny anteater, anteater, Probability:0.1069694}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.7515091}  {Name:n02077923 sea lion, Probability:0.13222145}  {Name:n02074367 dugong, Dugong dugon, Probability:0.008480705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9253829}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.015327643}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0036452254}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9521879}  {Name:n02410509 bison, Probability:0.020706775}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0037777943}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.52139866}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.26964322}  {Name:n02115641 dingo, warrigal, warragal, Canis dingo, Probability:0.010987465}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9364539}  {Name:n02074367 dugong, Dugong dugon, Probability:0.0015756594}  {Name:n02099712 Labrador retriever, Probability:0.0011629313}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.37793487}  {Name:n02105505 komondor, Probability:0.16963309}  {Name:n02098286 West Highland white terrier, Probability:0.023133164}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9160049}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.00519892}  {Name:n02280649 cabbage butterfly, Probability:0.0010869157}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9469125}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.004818596}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0025386189}
{Name:n02840245 binder, ring-binder, Probability:0.048411883}  {Name:n04162706 seat belt, seatbelt, Probability:0.04551594}  {Name:n03958227 plastic bag, Probability:0.04187552}
{Name:n03733281 maze, labyrinth, Probability:0.49122173}  {Name:n02088466 bloodhound, sleuthhound, Probability:0.053834718}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.044897553}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8992821}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0027831665}  {Name:n02280649 cabbage butterfly, Probability:0.0018300854}
{Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.30041245}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.1739873}  {Name:n02111889 Samoyed, Samoyede, Probability:0.14641778}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.94093674}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0023636483}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0019745077}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9405419}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0042431913}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0014118969}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.35740787}  {Name:n02117135 hyena, hyaena, Probability:0.28647706}  {Name:n02116738 African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus, Probability:0.053253587}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.970476}  {Name:n04067472 reel, Probability:0.0011460367}  {Name:n02877765 bottlecap, Probability:0.0005285804}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.86357105}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.005675659}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.004670507}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.95136654}  {Name:n02493509 titi, titi monkey, Probability:0.018232636}  {Name:n02486261 patas, hussar monkey, Erythrocebus patas, Probability:0.004913804}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.3975582}  {Name:n02363005 beaver, Probability:0.06546849}  {Name:n02410509 bison, Probability:0.053668775}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9068944}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0033375954}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0014515353}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.59412575}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.06439872}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.01049935}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.75584656}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.011807202}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0054598814}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9596391}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0018643546}  {Name:n02877765 bottlecap, Probability:0.000484729}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9553159}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.0014028439}  {Name:n04399382 teddy, teddy bear, Probability:0.0010780912}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.41562065}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.32447734}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0034695007}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.94756585}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0018839017}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0018252018}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.33172747}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.13795449}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.067451656}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9678083}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0008719287}  {Name:n02877765 bottlecap, Probability:0.0004931874}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.91177887}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.009648455}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.0029677711}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8021092}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.029520052}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.028102597}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.91924715}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0023311686}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0022166164}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8510934}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.038913716}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.02177515}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.5201145}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.35540375}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.008060977}
{Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.92695487}  {Name:n02443114 polecat, fitch, foulmart, foumart, Mustela putorius, Probability:0.0012160891}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.000525059}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.75957364}  {Name:n02129165 lion, king of beasts, Panthera leo, Probability:0.053843528}  {Name:n02125311 cougar, puma, catamount, mountain lion, painter, panther, Felis concolor, Probability:0.008884148}
{Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.9379755}  {Name:n02443114 polecat, fitch, foulmart, foumart, Mustela putorius, Probability:0.00059458124}  {Name:n02119022 red fox, Vulpes vulpes, Probability:0.00051395805}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9248944}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.003673916}  {Name:n02280649 cabbage butterfly, Probability:0.0019475677}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.98437876}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0012900846}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0007855841}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n01882714 koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus, Probability:0.92238367}  {Name:n01883070 wombat, Probability:0.0020735818}  {Name:n02497673 Madagascar cat, ring-tailed lemur, Lemur catta, Probability:0.0009140707}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9446988}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.00073204614}  {Name:n04399382 teddy, teddy bear, Probability:0.0007075632}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9425787}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.003441392}  {Name:n02280649 cabbage butterfly, Probability:0.0011474582}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8245328}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.005362822}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0020519162}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.6123135}  {Name:n02129165 lion, king of beasts, Panthera leo, Probability:0.0352162}  {Name:n02117135 hyena, hyaena, Probability:0.03241805}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.46975592}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.15713431}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.04261139}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9604058}  {Name:n02077923 sea lion, Probability:0.0036085423}  {Name:n02444819 otter, Probability:0.0009107592}
{Name:n02443114 polecat, fitch, foulmart, foumart, Mustela putorius, Probability:0.4857929}  {Name:n02443484 black-footed ferret, ferret, Mustela nigripes, Probability:0.22030085}  {Name:n02441942 weasel, Probability:0.0810338}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8550814}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.013234112}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0046719946}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9171236}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.021733524}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0036553738}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.98030394}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0022247212}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0018324306}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.6217143}  {Name:n02117135 hyena, hyaena, Probability:0.10947443}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.019255742}
